proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,label,mqtt_topic_len,mqtt_payload_len,mqtt_operation
1.0,6.0,0.000337,95.0,4.0,10.0,0.0,7.0,467.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,26.0,0.0,2.0
1.0,6.0,0.000393,95.0,4.0,10.0,0.0,7.0,467.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,26.0,0.0,2.0
1.0,6.0,0.000436,99.0,4.0,10.0,0.0,7.0,471.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,30.0,0.0,2.0
1.0,6.0,0.000421,99.0,4.0,10.0,0.0,7.0,471.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,30.0,0.0,2.0
1.0,6.0,0.000366,99.0,4.0,10.0,0.0,7.0,471.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,0,30.0,0.0,2.0
1.0,6.0,0.000371,99.0,4.0,10.0,0.0,7.0,471.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,30.0,0.0,2.0
1.0,6.0,0.00048,100.0,4.0,10.0,0.0,7.0,472.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,31.0,0.0,2.0
1.0,6.0,0.000423,115.0,8.0,10.0,0.0,8.0,539.0,5.0,276.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,27.0,0.0,2.0
1.0,6.0,0.000402,99.0,4.0,10.0,0.0,7.0,471.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,30.0,0.0,2.0
1.0,6.0,0.000465,99.0,4.0,10.0,0.0,7.0,471.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,30.0,0.0,2.0
1.0,0.0,2e-06,0.0,0.0,1.0,0.0,1.0,44.0,1.0,40.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,0.0,0.0,0.0
1.0,6.0,0.000527,102.0,4.0,10.0,0.0,7.0,474.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,0,34.0,0.0,2.0
1.0,6.0,0.000481,102.0,4.0,10.0,0.0,7.0,474.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,34.0,0.0,2.0
1.0,6.0,0.000393,55.0,4.0,10.0,0.0,7.0,427.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,10.0,0.0,2.0
1.0,6.0,0.003384,552.0,4.0,10.0,0.0,7.0,924.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,19.0,0.0,2.0
1.0,0.0,1.5e-05,0.0,0.0,2.0,0.0,2.0,80.0,1.0,44.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,0.0,0.0,0.0
1.0,0.0,3e-06,0.0,0.0,1.0,0.0,1.0,44.0,1.0,40.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,0.0,0.0,0.0
1.0,6.0,0.000384,99.0,4.0,10.0,0.0,7.0,471.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,30.0,0.0,2.0
1.0,0.0,3e-06,0.0,0.0,1.0,0.0,1.0,44.0,1.0,40.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,0.0,0.0,0.0
1.0,6.0,0.000438,99.0,4.0,10.0,0.0,7.0,471.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,30.0,0.0,2.0
1.0,0.0,2e-06,0.0,0.0,1.0,0.0,1.0,44.0,1.0,40.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,0.0,0.0,0.0
1.0,6.0,0.000465,55.0,4.0,10.0,0.0,7.0,427.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,10.0,0.0,2.0
1.0,0.0,3e-06,0.0,0.0,1.0,0.0,1.0,44.0,1.0,40.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,0.0,0.0,0.0
1.0,6.0,0.000416,99.0,4.0,10.0,0.0,7.0,471.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,0,30.0,0.0,2.0
1.0,6.0,0.000384,55.0,4.0,10.0,0.0,7.0,427.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,10.0,0.0,2.0
1.0,0.0,1.2e-05,0.0,0.0,2.0,0.0,2.0,80.0,1.0,44.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,0.0,0.0,0.0
1.0,0.0,2e-06,0.0,0.0,1.0,0.0,1.0,44.0,1.0,40.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,0.0,0.0,0.0
1.0,6.0,0.000493,102.0,4.0,10.0,0.0,7.0,474.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,34.0,0.0,2.0
1.0,6.0,0.000395,95.0,4.0,10.0,0.0,7.0,467.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,26.0,0.0,2.0
1.0,6.0,0.000366,55.0,4.0,10.0,0.0,7.0,427.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,10.0,0.0,2.0
1.0,6.0,0.000571,95.0,4.0,10.0,0.0,7.0,467.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,0,26.0,0.0,2.0
1.0,6.0,0.000499,115.0,8.0,10.0,0.0,8.0,539.0,5.0,276.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,0,27.0,0.0,2.0
1.0,6.0,0.000341,88.0,4.0,10.0,0.0,7.0,460.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,0,31.0,0.0,2.0
1.0,6.0,0.000452,99.0,4.0,10.0,0.0,7.0,471.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,30.0,0.0,2.0
1.0,6.0,0.000381,95.0,4.0,10.0,0.0,7.0,467.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,0,26.0,0.0,2.0
1.0,0.0,9.7e-05,0.0,0.0,1.0,0.0,1.0,44.0,1.0,40.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,0.0,0.0,0.0
1.0,0.0,8e-06,0.0,0.0,2.0,0.0,2.0,80.0,1.0,44.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,0.0,0.0,0.0
1.0,6.0,0.000337,95.0,4.0,10.0,0.0,7.0,467.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,26.0,0.0,2.0
